Image Name,DefectName,Severity,NumberOfPoints
BoatScale_3_0,BoatScale,3,2571,830,2656,830,2656,1404,2571,1404
WhiteBoatScale_2_1,WhiteBoatScale,2,1685,1293,1755,1293,1755,1723,1685,1723
WhiteBoatScale_2_2,WhiteBoatScale,2,3004,1705,3069,1705,3069,1974,3004,1974
WhiteBoatScale_2_3,WhiteBoatScale,2,1989,228,2056,228,2056,453,1989,453
StickyScale_2_4,StickyScale,2,3224,1281,3282,1281,3282,1734,3224,1734
StickyScale_2_5,StickyScale,2,2551,2,2638,2,2638,471,2551,471
WhiteBoatScale_2_6,WhiteBoatScale,2,1658,883,1740,883,1740,1141,1658,1141
WhiteBoatScale_2_7,WhiteBoatScale,2,3136,350,3349,350,3349,818,3136,818
WhiteBoatScale_2_8,WhiteBoatScale,2,2296,918,2505,918,2505,1271,2296,1271
WhiteBoatScale_2_9,WhiteBoatScale,2,2234,461,2421,461,2421,882,2234,882
WhiteBoatScale_2_10,WhiteBoatScale,2,1932,1125,2053,1125,2053,1376,1932,1376
