Image Name,DefectName,Severity,NumberOfPoints
StoneRubbing_4_0,StoneRubbing,4,1062,1901,2258,1901,2258,2042,1062,2042
StoneRubbing_3_1,StoneRubbing,3,2554,1597,2770,1597,2770,1746,2554,1746
StoneRubbing_2_2,StoneRubbing,2,2448,1334,2659,1334,2659,1512,2448,1512
StoneRubbing_3_3,StoneRubbing,3,1064,1202,1486,1202,1486,1492,1064,1492
StoneRubbing_2_4,StoneRubbing,2,1094,1056,1477,1056,1477,1184,1094,1184
StoneRubbing_2_5,StoneRubbing,2,2662,1018,3139,1018,3139,1152,2662,1152
StoneRubbing_2_6,StoneRubbing,2,1220,0,1398,0,1398,160,1220,160
StoneRubbing_3_7,StoneRubbing,3,917,1517,1287,1517,1287,1875,917,1875
StoneRubbing_2_8,StoneRubbing,2,1299,1535,1533,1535,1533,1695,1299,1695
StoneRubbing_4_9,StoneRubbing,4,1550,1517,2491,1517,2491,1867,1550,1867
