Image Name,DefectName,Severity,NumberOfPoints
WhiteBoatScale_2_0,WhiteBoatScale,2,1969,1737,2050,1737,2050,1992,1969,1992
StickyScale_2_1,StickyScale,2,2539,1457,2659,1457,2659,2042,2539,2042
WhiteBoatScale_2_2,WhiteBoatScale,2,1717,76,1793,76,1793,672,1717,672
WhiteBoatScale_2_3,WhiteBoatScale,2,3314,11,3411,11,3411,403,3314,403
WhiteBoatScale_2_4,WhiteBoatScale,2,3203,64,3314,64,3314,450,3203,450
WhiteBoatScale_2_5,WhiteBoatScale,2,2172,573,2345,573,2345,856,2172,856
WhiteBoatScale_2_6,WhiteBoatScale,2,2119,1200,2305,1200,2305,1488,2119,1488
WhiteBoatScale_2_7,WhiteBoatScale,2,1674,1247,1852,1247,1852,1550,1674,1550
WhiteBoatScale_3_8,WhiteBoatScale,3,2812,1165,3083,1165,3083,1727,2812,1727
WhiteBoatScale_3_9,WhiteBoatScale,3,1648,1700,1861,1700,1861,2042,1648,2042
WhiteBoatScale_3_10,WhiteBoatScale,3,1888,894,2079,894,2079,1327,1888,1327
